2017-01-22 19:58:14 +0100 | Logfile created at log/prnstn.log
2017-01-22 19:58:14 +0100 || ----------------
2017-01-22 19:58:14 +0100 || No token provided. Quitting...
2017-01-22 19:59:24 +0100 || ----------------
2017-01-22 19:59:24 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-22 19:59:24 +0100 || No token provided. Quitting...
2017-01-22 20:00:03 +0100 || ----------------
2017-01-22 20:00:03 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-22 20:00:03 +0100 || ----------------
2017-01-22 20:00:03 +0100 || Init...
2017-01-22 20:00:03 +0100 || No token provided. Quitting...
2017-01-22 20:00:32 +0100 || ----------------
2017-01-22 20:00:32 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-22 20:00:32 +0100 || ----------------
2017-01-22 20:00:32 +0100 || Init application...
2017-01-22 20:00:32 +0100 || Prnstn is starting...
2017-01-22 20:00:32 +0100 || Token: #{Prnstn::REMOTE_TOKEN}
2017-01-22 20:00:32 +0100 || Start application...
2017-01-22 20:00:32 +0100 || No printer available on this machine. Quitting...
2017-01-22 20:00:41 +0100 || ----------------
2017-01-22 20:00:41 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-22 20:00:41 +0100 || ----------------
2017-01-22 20:00:41 +0100 || Init application...
2017-01-22 20:00:41 +0100 || Prnstn is starting...
2017-01-22 20:00:41 +0100 || Token: 1234
2017-01-22 20:00:41 +0100 || Start application...
2017-01-22 20:00:41 +0100 || No printer available on this machine. Quitting...
2017-01-26 10:35:49 +0100 || ----------------
2017-01-26 10:35:49 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:35:49 +0100 || ----------------
2017-01-26 10:35:49 +0100 || Init application...
2017-01-26 10:35:49 +0100 || Prnstn is starting...
2017-01-26 10:35:49 +0100 || Token provided: 1234
2017-01-26 10:35:49 +0100 || Start application...
2017-01-26 10:35:49 +0100 || Checking printer...
2017-01-26 10:35:49 +0100 || No printer available on this machine. Quitting...
2017-01-26 10:39:33 +0100 || ----------------
2017-01-26 10:39:33 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:39:33 +0100 || ----------------
2017-01-26 10:39:33 +0100 || Init application...
2017-01-26 10:39:33 +0100 || Prnstn is starting...
2017-01-26 10:39:33 +0100 || Token provided: 1234
2017-01-26 10:39:33 +0100 || Start application...
2017-01-26 10:39:33 +0100 || Checking printer...
2017-01-26 10:39:33 +0100 || A printer was found. #{printer.state}
2017-01-26 10:39:53 +0100 || ----------------
2017-01-26 10:39:53 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:39:53 +0100 || ----------------
2017-01-26 10:39:53 +0100 || Init application...
2017-01-26 10:39:53 +0100 || Prnstn is starting...
2017-01-26 10:39:53 +0100 || Token provided: 1234
2017-01-26 10:39:53 +0100 || Start application...
2017-01-26 10:39:53 +0100 || Checking printer...
2017-01-26 10:39:53 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:40:11 +0100 || ----------------
2017-01-26 10:40:11 +0100 || PRNSTN 0.1.0 on a Ubuntu 12.04 machine
2017-01-26 10:40:11 +0100 || ----------------
2017-01-26 10:40:11 +0100 || Init application...
2017-01-26 10:40:11 +0100 || Prnstn is starting...
2017-01-26 10:40:11 +0100 || Token provided: 1234
2017-01-26 10:40:11 +0100 || Start application...
2017-01-26 10:40:11 +0100 || Checking printer...
2017-01-26 10:40:11 +0100 || A printer was found. {:state=>:idle, :reasons=>["none"]}
2017-01-26 10:40:39 +0100 || ----------------
